Date,Title,Score,Sentiment
2020-01-01,  Damn The Torpedoes ... Full Speed ... Ahead,0.0,neutral
2020-01-01,Here How 2019 Turned Out To Be A Historic Year For The Stock Market,0.1553324048444868,Positive
2020-01-01,Here How 2019 Turned Out To Be A Historic Year For The Stock Market,0.9433731436729432,positive
2020-01-01,"Jobs and Inflation : The Great Trade - Off , Demystified",0.0,neutral
2020-01-01,"Vanguard market forecasts for 2020 and beyond ? Higher , but not as juicy as the 2010 decade . ",0.951354682445526,negative
2020-01-01,,0.0,Neutral
2020-01-01,,0.0,Neutral
2020-01-01,,0.0,Neutral
2020-01-02,2020 Predictions for the Global Economy and Markets,0.30715753162473747,Positive
2020-01-02,2020 Predictions for the Global Economy and Markets,0.0,neutral
2020-01-02,"Investors could be partying like it 1997 , but many sat out",0.0,neutral
2020-01-02,,0.0,Neutral
2020-01-02,,0.0,Neutral
2020-01-02,,0.0,Neutral
2020-01-02,,0.0,Neutral
2020-01-02,,0.0,Neutral
2020-01-03,"Fed may need new approach to boost inflation , Daly says",0.7735352516174316,positive
2020-01-03,Fed may need new framework to boost inflation to 2 % ,0.5221118927001953,negative
2020-01-03,Fed minutes : Members worried that keeping rates low would encourage risk,0.08224752132546526,Positive
2020-01-03,Fed minutes : Members worried that keeping rates low would encourage risk,0.0,neutral
2020-01-03,The Return To Misery,0.0,neutral
2020-01-03,Why Gold Could Shine In 2020,0.0,neutral
2020-01-03,,0.0,Neutral
2020-01-03,,0.0,Neutral
2020-01-04,Cleveland Fed Loretta Mester Wants to Hold Rates Steady,0.0,neutral
2020-01-04,"Fed Mester , who warned of inflation risks , says current policy  well calibrated  ",0.0,neutral
2020-01-04,"Fed Mester , who warned of inflation risks , says current policy  well calibrated  ",0.0,neutral
2020-01-04,Fed policymakers broadly see eye to eye on 2020 outlook,0.0,neutral
2020-01-04,Next stock market crash : The exact scenario that could spur a meltdown,0.3614257113103459,Neutral
2020-01-04,Next stock market crash : The exact scenario that could spur a meltdown,0.6142820715904236,negative
2020-01-04,,0.0,Neutral
2020-01-04,,0.0,Neutral
2020-01-05,Apple Stock Is Really Expensive | The Motley Fool,0.24817178987011568,Positive
2020-01-05,Bernanke Says Fed Has the Tools It Needs to Fight Next Recession,0.8774309754371643,positive
2020-01-05,Fed Williams Says Low Interest Rates Are Here to Stay,0.0,neutral
2020-01-05,"Fed has the tools it needs to fight the next recession , Bernanke says",0.3262050476013846,Positive
2020-01-05,"Fed has the tools it needs to fight the next recession , Bernanke says",0.0,neutral
2020-01-05,Low Duration Options For An Expensive Bond Market,0.0,neutral
2020-01-05,Low Interest Rates Worry the Fed . Ben Bernanke Has Some Ideas . ,0.3646127445467276,Neutral
2020-01-05,Low Interest Rates Worry the Fed . Ben Bernanke Has Some Ideas . ,0.0,neutral
2020-01-06,Buttonwood - Why the most important hedge is against unexpected inflation | Finance and economics,0.34480516719233323,Neutral
2020-01-06,Buttonwood - Why the most important hedge is against unexpected inflation | Finance and economics,0.0,neutral
2020-01-06,"Fed faces new trade - offs , hunts for new model , in low - rate world",0.0,neutral
2020-01-06,,0.0,Neutral
2020-01-06,,0.0,Neutral
2020-01-06,,0.0,Neutral
2020-01-06,,0.0,Neutral
2020-01-06,,0.0,Neutral
2020-01-07,Eurozone inflation rate hits 6 - month high of 1 . 3 % ,0.4163718626302128,Negative
2020-01-07,Eurozone inflation rate hits 6 - month high of 1 . 3 % ,0.0,neutral
2020-01-07,Polish flash CPI at highest since 2012,0.0,neutral
2020-01-07,,0.0,Neutral
2020-01-07,,0.0,Neutral
2020-01-07,,0.0,Neutral
2020-01-07,,0.0,Neutral
2020-01-07,,0.0,Neutral
2020-01-08,5 Issues For Investors To Watch In January,0.8451334834098816,positive
2020-01-08,Inflation Shock to Test Polish Rate Lockdown : Decision Day Guide,0.6775020956993103,negative
