Date,Title,Score,Sentiment,language
2020-01-01,Here How 2019 Turned Out To Be A Historic Year For The Stock Market,0.28606376262626265,Positive,English
2020-01-01,,0.0,Neutral,
2020-01-01,,0.0,Neutral,
2020-01-05,Low Interest Rates Worry the Fed . Ben Bernanke Has Some Ideas . ,0.0790545634920635,Neutral,English
2020-01-05,"Fed has the tools it needs to fight the next recession , Bernanke says",0.11704545454545455,Positive,English
2020-01-05,Apple Stock Is Really Expensive | The Motley Fool,0.194231884057971,Positive,English
2020-01-04,Next stock market crash : The exact scenario that could spur a meltdown,0.08220701058201059,Neutral,English
2020-01-04,,0.0,Neutral,
2020-01-04,,0.0,Neutral,
2020-01-03,Fed minutes : Members worried that keeping rates low would encourage risk,0.35835551840042856,Positive,English
2020-01-03,,0.0,Neutral,
2020-01-03,,0.0,Neutral,
2020-01-02,2020 Predictions for the Global Economy and Markets,0.13588626411902274,Positive,English
2020-01-02,,0.0,Neutral,
2020-01-02,,0.0,Neutral,
2020-01-07,Eurozone inflation rate hits 6 - month high of 1 . 3 % ,0.02785714285714286,Neutral,English
2020-01-07,,0.0,Neutral,
2020-01-07,,0.0,Neutral,
2020-01-06,Buttonwood - Why the most important hedge is against unexpected inflation | Finance and economics,0.09864718614718612,Neutral,English
2020-01-06,,0.0,Neutral,
2020-01-06,,0.0,Neutral,
2020-01-10,"Fed on hold but next move may be rate cut , Kashkari says",0.14338832199546486,Positive,English
2020-01-10,,0.0,Neutral,
2020-01-10,,0.0,Neutral,
2020-01-08,,0.0,Neutral,
2020-01-08,,0.0,Neutral,
2020-01-08,,0.0,Neutral,
2020-01-09,"Apple Stock Hits New Record , Spurring Dow Higher , As China Sales Boom",0.08173553719008265,Neutral,English
2020-01-09,,0.0,Neutral,
2020-01-09,,0.0,Neutral,
2020-01-15,PPI shows tepid increase in U . S . wholesale inflation at the end of 2019,0.13749999999999998,Positive,English
2020-01-15,December 2019 CPI Update,0.1497661947661948,Positive,English
2020-01-15,,0.0,Neutral,
2020-01-12,Why Apple Stock Soared 86 . 2 % in 2019,0.3214397496087638,Positive,English
2020-01-12,"U . S ., China Move on From Year of the Spat : Global Economy Week",0.07308333333333335,Neutral,English
2020-01-12,Record earnings at big banks could keep the stock rally alive,0.14869643641382774,Positive,English
2020-01-14,US Consumer Price Index CPI December 2019,0.35651423399978316,Positive,English
2020-01-14,U . S . consumer prices increase moderately in December,0.07290513833992093,Neutral,English
2020-01-14,,0.0,Neutral,
2020-01-13,Fed Rosengren warns of risks to central bank  almost ideal  economic outlook,0.1401722391084093,Positive,English
2020-01-13,Podcast : JPMorgan Chase Expected to Report a 7 % Earnings Increase,0.019817821067821064,Neutral,English
2020-01-13,,0.0,Neutral,
2020-01-11,NY Fed Williams says central bank can avert  downward trend  in inflation expectations,0.04376713564213564,Neutral,English
2020-01-11,Fed 2014  Normalization  Debate Sowed Seeds for Today Hot Labor Market,0.04266581632653061,Neutral,English
2020-01-11,This 2020 Bull Market Cannot Be Stopped - Capitalism Is Now In Control,0.08867980884109918,Neutral,English
2020-01-16,,0.0,Neutral,
2020-01-16,,0.0,Neutral,
2020-01-16,,0.0,Neutral,
2020-01-18,"In the stock market , it become Apple , Microsoft and Alphabet vs everyone else",0.2987902866263716,Positive,English
2020-01-18,,0.0,Neutral,
2020-01-18,,0.0,Neutral,
2020-01-17,,0.0,Neutral,
2020-01-17,,0.0,Neutral,
2020-01-17,,0.0,Neutral,
2020-01-20,,0.0,Neutral,
2020-01-20,,0.0,Neutral,
2020-01-20,,0.0,Neutral,
2020-01-19,What to Know About Recent Federal Reserve Guidance and Interest Rate Announcements,0.2596433381433381,Positive,English
2020-01-19,What to Know About Recent Federal Reserve Guidance and Interest Rate Announcements,0.2596433381433381,Positive,English
2020-01-19,Global Economic Growth Is The Lowest In A Decade : Why Is Wall Street Racing To The Moon ? ,0.022568666965218684,Neutral,English
2020-01-23,,0.0,Neutral,
2020-01-23,,0.0,Neutral,
2020-01-23,,0.0,Neutral,
2020-01-24,"Japan December core consumer inflation ticks up , but far from BOJ target",0.05541938997821352,Neutral,English
2020-01-24,"Japan December core consumer inflation ticks up , but far from BOJ target",0.05541938997821352,Neutral,English
2020-01-24,"Next recession timing , biggest investment risk : Barings CEO interview",-0.0004449254449254487,Neutral,English
2020-01-22,"Head of U . S . largest bank says central banks are fueling a sovereign debt bubble , negative - rates wont  end well  ",-0.047520661157024795,Neutral,English
2020-01-22,Mark Cuban says here how youll know the market has topped,0.43621865654474357,Positive,English
2020-01-22,,0.0,Neutral,
2020-01-25,The yield curve still weird . Fed Bullard is okay with that,0.048042133520074685,Neutral,English
2020-01-25,"The road ahead for the U . S . economy looks pretty clear , but a few potholes are looming",-0.007142857142857141,Neutral,English
2020-01-25,"Holy Cow , Batman – 2 ! There Really Is Rampant Inflation ! ",0.05798985451382712,Neutral,English
2020-01-21,Trump Criticizes Federal Reserve At Davos For Holding Back U . S . Economy,0.01712797619047619,Neutral,English
2020-01-21,Davos 2020 : Trump says he  could get used to  negative interest rates :  Love that  ,0.40525077025077044,Positive,English
2020-01-21,Fund managers most optimistic on growth in nearly two years as cash at lowest levels since 2013,0.17142857142857146,Positive,English
2020-01-27,,0.0,Neutral,
2020-01-27,,0.0,Neutral,
2020-01-27,,0.0,Neutral,
2020-01-28,The Chicago Fed Charles Evans has become a pivotal player on interest rates -- just not in the U . S . ,0.012962962962962954,Neutral,English
2020-01-28,,0.0,Neutral,
2020-01-28,,0.0,Neutral,
2020-01-29,Fed decision : Interest rates unchanged,0.406268761472843,Positive,English
2020-01-29,FOMC statement for January,0.08246527777777778,Neutral,English
2020-01-29,Here Why Stocks Are Rising After January Federal Reserve Meeting,0.2439805665349144,Positive,English
2020-01-26,An Early Look at Social Security 2021 COLA Trends,0.18205320399764852,Positive,English
2020-01-26,An Early Look at Social Security 2021 COLA Trends,0.18205320399764852,Positive,English
2020-01-26,Fed Expected to Hold Borrowing Costs Steady for Months,0.08488425925925926,Neutral,English
